sex,province,feelings_life,education,political_pref,religion_participation,age,income_family
Female,Saskatchewan,Very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a month,54,"$50,000 to $74,999"
Male,Saskatchewan,Very satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a month,61,"$125,000 and more"
Female,Saskatchewan,Fairly satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,61,"$50,000 to $74,999"
Female,Saskatchewan,Not satisfied at all,"University certificate, diploma or degree above the bach...","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,41,"$25,000 to $49,999"
Female,Saskatchewan,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,41,"$125,000 and more"
Male,Saskatchewan,Fairly satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,22,"$$75,000 to $99,999"
Male,Saskatchewan,Fairly satisfied,Less than high school diploma or its equivalent,Green Party (Greens),Not at all,34,"$$75,000 to $99,999"
Male,Saskatchewan,Fairly satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,47,"$125,000 and more"
Female,Saskatchewan,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,23,"$25,000 to $49,999"
Male,Saskatchewan,Fairly satisfied,University certificate or diploma below the bachelor's level,Liberal (Grits),Not at all,38,"$125,000 and more"
Male,Saskatchewan,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,55,"$100,000 to $ 124,999"
Male,Saskatchewan,Fairly satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,29,"$50,000 to $74,999"
Male,Saskatchewan,Not satisfied at all,High school diploma or a high school equivalency certificate,People's Party,At least once a year,59,"$50,000 to $74,999"
Male,Alberta,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,24,"$$75,000 to $99,999"
Female,Saskatchewan,Not very satisfied,High school diploma or a high school equivalency certificate,"(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,59,"$50,000 to $74,999"
Male,Saskatchewan,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,44,"$125,000 and more"
Male,Saskatchewan,Not very satisfied,Less than high school diploma or its equivalent,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,30,"$50,000 to $74,999"
Male,Saskatchewan,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,50,"$125,000 and more"
Female,Saskatchewan,Fairly satisfied,"University certificate, diploma or degree above the bach...","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a week,45,"$125,000 and more"
Male,Saskatchewan,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,42,"$125,000 and more"
Male,Saskatchewan,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,42,"$100,000 to $ 124,999"
Male,Saskatchewan,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Green Party (Greens),At least once a year,33,"Less than $25,000"
Male,Saskatchewan,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),At least once a month,31,"Less than $25,000"
Female,Saskatchewan,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,39,"$125,000 and more"
Male,Quebec,Very satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a week,43,"$$75,000 to $99,999"
Female,Quebec,Fairly satisfied,"University certificate, diploma or degree above the bach...","Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",Not at all,62,"$125,000 and more"
Female,Quebec,Very satisfied,"University certificate, diploma or degree above the bach...","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,43,"$$75,000 to $99,999"
Male,Quebec,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a month,26,"$50,000 to $74,999"
Male,Quebec,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",At least once a year,53,"$125,000 and more"
Female,Quebec,Not very satisfied,University certificate or diploma below the bachelor's level,"(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,43,"$25,000 to $49,999"
Female,Quebec,Very satisfied,University certificate or diploma below the bachelor's level,Liberal (Grits),At least once a year,59,"$125,000 and more"
Female,Quebec,Fairly satisfied,High school diploma or a high school equivalency certificate,Liberal (Grits),Not at all,32,"$100,000 to $ 124,999"
Male,Quebec,Fairly satisfied,High school diploma or a high school equivalency certificate,Liberal (Grits),At least once a year,46,"$25,000 to $49,999"
Female,Quebec,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),Not at all,37,"$$75,000 to $99,999"
Male,Quebec,Not very satisfied,High school diploma or a high school equivalency certificate,"(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,28,"$25,000 to $49,999"
Male,Quebec,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,49,"$125,000 and more"
Male,Quebec,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,45,"$125,000 and more"
Female,Quebec,Fairly satisfied,High school diploma or a high school equivalency certificate,"Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",Not at all,47,"$100,000 to $ 124,999"
Male,Quebec,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,38,"$125,000 and more"
Female,Quebec,Not very satisfied,"University certificate, diploma or degree above the bach...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,44,"$$75,000 to $99,999"
Female,Quebec,Very satisfied,High school diploma or a high school equivalency certificate,Liberal (Grits),At least once a month,50,"$125,000 and more"
Male,Quebec,Very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),At least once a year,33,"$25,000 to $49,999"
Male,Quebec,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,33,"$125,000 and more"
Female,Quebec,Not very satisfied,"University certificate, diploma or degree above the bach...",Green Party (Greens),Not at all,44,"$125,000 and more"
Female,Quebec,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a year,28,"$50,000 to $74,999"
Female,Quebec,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a week,30,"$25,000 to $49,999"
Male,Quebec,Not satisfied at all,"University certificate, diploma or degree above the bach...","Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",At least once a month,55,"Less than $25,000"
Female,Quebec,Very satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),Not at all,29,"Less than $25,000"
Male,Quebec,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",Not at all,36,"$125,000 and more"
Female,Quebec,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,55,"$125,000 and more"
Female,Quebec,Not very satisfied,"University certificate, diploma or degree above the bach...",Green Party (Greens),Not at all,49,"$$75,000 to $99,999"
Male,Quebec,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,36,"$100,000 to $ 124,999"
Male,Quebec,Not satisfied at all,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,65,"$100,000 to $ 124,999"
Female,Quebec,Very satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),Not at all,42,"$25,000 to $49,999"
Female,Quebec,Fairly satisfied,"University certificate, diploma or degree above the bach...",Other,Not at all,31,"$$75,000 to $99,999"
Male,Quebec,Fairly satisfied,"University certificate, diploma or degree above the bach...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,65,"$125,000 and more"
Male,Quebec,Not satisfied at all,"University certificate, diploma or degree above the bach...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,43,"$125,000 and more"
Male,Quebec,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),Not at all,28,"$100,000 to $ 124,999"
Male,Quebec,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",At least once a year,57,"$50,000 to $74,999"
Male,Quebec,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,29,"$50,000 to $74,999"
Male,Quebec,Not very satisfied,Less than high school diploma or its equivalent,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,48,"$50,000 to $74,999"
Male,Quebec,Not very satisfied,High school diploma or a high school equivalency certificate,"Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",Not at all,34,"$125,000 and more"
Male,Quebec,Fairly satisfied,Less than high school diploma or its equivalent,"Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",Not at all,51,"$25,000 to $49,999"
Female,Quebec,Fairly satisfied,High school diploma or a high school equivalency certificate,"Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",Not at all,61,"$125,000 and more"
Male,Quebec,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",Not at all,50,"$125,000 and more"
Male,Quebec,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),At least once a year,48,"$25,000 to $49,999"
Female,Quebec,Fairly satisfied,University certificate or diploma below the bachelor's level,"(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,22,"$125,000 and more"
Female,Quebec,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",At least once a year,59,"$50,000 to $74,999"
Male,Quebec,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,28,"$125,000 and more"
Male,Quebec,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),Not at all,44,"$125,000 and more"
Female,Quebec,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",Not at all,44,"$100,000 to $ 124,999"
Male,Quebec,Not very satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,35,"$100,000 to $ 124,999"
Male,Quebec,Not satisfied at all,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",At least once a year,45,"$$75,000 to $99,999"
Female,Quebec,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,39,"Less than $25,000"
Male,Quebec,Very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),Not at all,25,"$50,000 to $74,999"
Male,Quebec,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a year,46,"$125,000 and more"
Female,Quebec,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,32,"$125,000 and more"
Male,Quebec,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,63,"$100,000 to $ 124,999"
Male,Quebec,Fairly satisfied,"University certificate, diploma or degree above the bach...","Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",Not at all,48,"Less than $25,000"
Female,Quebec,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Green Party (Greens),Not at all,34,"$25,000 to $49,999"
Male,Quebec,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,43,"$100,000 to $ 124,999"
Male,Quebec,Very satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a year,65,"$125,000 and more"
Male,Quebec,Fairly satisfied,High school diploma or a high school equivalency certificate,"(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,32,"$100,000 to $ 124,999"
Male,Quebec,Very satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a year,74,"$$75,000 to $99,999"
Male,Quebec,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),Not at all,31,"$25,000 to $49,999"
Male,British Columbia,Fairly satisfied,"University certificate, diploma or degree above the bach...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,40,"$125,000 and more"
Male,British Columbia,Not satisfied at all,Less than high school diploma or its equivalent,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,65,"$100,000 to $ 124,999"
Female,British Columbia,Not satisfied at all,"College, CEGEP, trade certificate or other non-university certificate or di...",People's Party,Not at all,45,"$125,000 and more"
Female,Alberta,Fairly satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,44,"$100,000 to $ 124,999"
Female,Alberta,Fairly satisfied,University certificate or diploma below the bachelor's level,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,53,"$125,000 and more"
Female,Manitoba,Fairly satisfied,"University certificate, diploma or degree above the bach...",Green Party (Greens),At least once a month,53,"$50,000 to $74,999"
Female,Manitoba,Very satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),Not at all,39,"$100,000 to $ 124,999"
Male,Manitoba,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Green Party (Greens),Not at all,69,"$50,000 to $74,999"
Male,Prince Edward Island,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a month,50,"$100,000 to $ 124,999"
Female,Saskatchewan,Fairly satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,31,"$125,000 and more"
Male,Saskatchewan,Very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,60,"$50,000 to $74,999"
Male,Alberta,Fairly satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,51,"$125,000 and more"
Male,Alberta,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,57,"$25,000 to $49,999"
Female,Alberta,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,37,"$125,000 and more"
Male,British Columbia,Not very satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,38,"$125,000 and more"
Male,British Columbia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,74,"$100,000 to $ 124,999"
Female,British Columbia,Fairly satisfied,University certificate or diploma below the bachelor's level,Green Party (Greens),At least once a year,58,"$125,000 and more"
Male,British Columbia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,40,"$125,000 and more"
Female,British Columbia,Fairly satisfied,University certificate or diploma below the bachelor's level,"(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,66,"$100,000 to $ 124,999"
Male,British Columbia,Very satisfied,"University certificate, diploma or degree above the bach...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a month,73,"$100,000 to $ 124,999"
Female,British Columbia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,43,"$125,000 and more"
Male,New Brunswick,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Green Party (Greens),At least once a year,36,"Less than $25,000"
Male,New Brunswick,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a month,44,"$$75,000 to $99,999"
Male,New Brunswick,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a month,63,"$125,000 and more"
Female,Nova Scotia,Fairly satisfied,University certificate or diploma below the bachelor's level,"(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a week,65,"Less than $25,000"
Female,Nova Scotia,Fairly satisfied,High school diploma or a high school equivalency certificate,Green Party (Greens),Not at all,63,"$25,000 to $49,999"
Male,Nova Scotia,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),Not at all,33,"$125,000 and more"
Male,Ontario,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,31,"$125,000 and more"
Female,Ontario,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,47,"$50,000 to $74,999"
Female,Ontario,Fairly satisfied,"University certificate, diploma or degree above the bach...","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,57,"$125,000 and more"
Female,Ontario,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),Not at all,47,"$$75,000 to $99,999"
Male,Ontario,Not very satisfied,High school diploma or a high school equivalency certificate,People's Party,At least once a week,65,"$125,000 and more"
Female,Ontario,Fairly satisfied,University certificate or diploma below the bachelor's level,"(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,48,"$125,000 and more"
Male,Ontario,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a year,45,"$125,000 and more"
Male,Ontario,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a year,35,"$125,000 and more"
Male,Ontario,Very satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,60,"$100,000 to $ 124,999"
Female,Ontario,Very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,56,"$50,000 to $74,999"
Male,Ontario,Not very satisfied,High school diploma or a high school equivalency certificate,Green Party (Greens),At least once a year,58,"$125,000 and more"
Male,Prince Edward Island,Fairly satisfied,High school diploma or a high school equivalency certificate,Liberal (Grits),At least once a year,19,"$100,000 to $ 124,999"
Male,Prince Edward Island,Not very satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a year,28,"$$75,000 to $99,999"
Male,Quebec,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,58,"$50,000 to $74,999"
Female,Quebec,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),Not at all,38,"$100,000 to $ 124,999"
Male,Quebec,Fairly satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,39,"$100,000 to $ 124,999"
Female,Quebec,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a year,42,"$125,000 and more"
Male,Quebec,Fairly satisfied,High school diploma or a high school equivalency certificate,"(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,31,"$50,000 to $74,999"
Female,Quebec,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),Not at all,54,"$50,000 to $74,999"
Male,Quebec,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",Not at all,28,"$100,000 to $ 124,999"
Female,Quebec,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",Not at all,41,"$125,000 and more"
Male,Quebec,Not very satisfied,"University certificate, diploma or degree above the bach...",Green Party (Greens),At least once a year,45,"$125,000 and more"
Female,Saskatchewan,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Green Party (Greens),At least once a year,40,"$125,000 and more"
Male,Saskatchewan,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,43,"$25,000 to $49,999"
Female,Saskatchewan,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,50,"$125,000 and more"
Male,British Columbia,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a week,61,"$125,000 and more"
Male,British Columbia,Fairly satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,27,"$125,000 and more"
Male,British Columbia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,73,"$100,000 to $ 124,999"
Male,British Columbia,Not satisfied at all,University certificate or diploma below the bachelor's level,"(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a week,33,"$100,000 to $ 124,999"
Male,British Columbia,Very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),At least once a week,60,"$25,000 to $49,999"
Female,British Columbia,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a month,50,"$$75,000 to $99,999"
Male,British Columbia,Very satisfied,"University certificate, diploma or degree above the bach...",Green Party (Greens),At least once a year,55,"$125,000 and more"
Male,British Columbia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Green Party (Greens),Not at all,35,"$125,000 and more"
Male,British Columbia,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),Not at all,57,"$125,000 and more"
Female,British Columbia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",People's Party,Not at all,36,"$125,000 and more"
Male,British Columbia,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,43,"$$75,000 to $99,999"
Male,British Columbia,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),Not at all,39,"$100,000 to $ 124,999"
Male,British Columbia,Not satisfied at all,"University certificate, diploma or degree above the bach...","(3) NDP (New Democratic Party, New Democrats, NDPers)",At least once a year,32,"$100,000 to $ 124,999"
Male,British Columbia,Fairly satisfied,"University certificate, diploma or degree above the bach...","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,45,"$125,000 and more"
Male,British Columbia,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,42,"$125,000 and more"
Male,British Columbia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,25,"$50,000 to $74,999"
Female,British Columbia,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,43,"$100,000 to $ 124,999"
Female,British Columbia,Fairly satisfied,"University certificate, diploma or degree above the bach...","(3) NDP (New Democratic Party, New Democrats, NDPers)",Not at all,30,"$25,000 to $49,999"
Male,British Columbia,Not very satisfied,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,46,"$$75,000 to $99,999"
Male,British Columbia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Green Party (Greens),Not at all,45,"$125,000 and more"
Female,British Columbia,Not very satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,29,"$50,000 to $74,999"
Male,British Columbia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,58,"$125,000 and more"
Male,British Columbia,Very satisfied,Less than high school diploma or its equivalent,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a week,28,"$50,000 to $74,999"
Male,British Columbia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,34,"$125,000 and more"
Male,British Columbia,Not satisfied at all,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,56,"$125,000 and more"
Male,British Columbia,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...","Conservatives (Tory, PCs, Conservative Party of Canada)",At least once a year,24,"$25,000 to $49,999"
Male,British Columbia,Not very satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Green Party (Greens),Not at all,65,"$50,000 to $74,999"
Male,British Columbia,Not satisfied at all,High school diploma or a high school equivalency certificate,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,28,"$25,000 to $49,999"
Male,British Columbia,Not very satisfied,University certificate or diploma below the bachelor's level,Liberal (Grits),Not at all,20,"$$75,000 to $99,999"
Male,British Columbia,Not very satisfied,University certificate or diploma below the bachelor's level,"Conservatives (Tory, PCs, Conservative Party of Canada)",Not at all,51,"$125,000 and more"
Female,British Columbia,Fairly satisfied,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Liberal (Grits),Not at all,28,"$125,000 and more"
Female,British Columbia,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Other,At least once a week,33,"$25,000 to $49,999"
Female,Quebec,Very satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),At least once a year,36,"$125,000 and more"
Female,Quebec,Fairly satisfied,Less than high school diploma or its equivalent,"Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",At least once a year,64,"Less than $25,000"
Female,Quebec,Fairly satisfied,High school diploma or a high school equivalency certificate,Green Party (Greens),Not at all,37,"$50,000 to $74,999"
Female,Quebec,Not very satisfied,High school diploma or a high school equivalency certificate,Liberal (Grits),At least once a year,43,"$125,000 and more"
Male,Quebec,Not very satisfied,Less than high school diploma or its equivalent,"Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",Not at all,26,"$50,000 to $74,999"
Female,Quebec,Fairly satisfied,"University certificate, diploma or degree above the bach...",Liberal (Grits),Not at all,47,"$50,000 to $74,999"
Male,Quebec,Fairly satisfied,"College, CEGEP, trade certificate or other non-university certificate or di...",Liberal (Grits),Not at all,41,"$125,000 and more"
Male,Quebec,Fairly satisfied,High school diploma or a high school equivalency certificate,Liberal (Grits),Not at all,32,"$125,000 and more"
